id,fullName,gender,birthdate,birthplace,deathdate,deathplace
11,Albert Abraham Michelson,male,1852-12-19,Strelno,1931-05-09,"Pasadena, CA"
102,Aage Niels Bohr,male,1922-06-19,Copenhagen,2009-09-08,Copenhagen
114,Abdus Salam,male,1926-01-29,Jhang Maghiāna,1996-11-21,Oxford
164,Johann Friedrich Wilhelm Adolf von Baeyer,male,1835-10-31,Berlin,1917-08-20,Starnberg
185,Adolf Otto Reinhold Windaus,male,1876-12-25,Berlin,1959-06-09,Göttingen
199,Adolf Friedrich Johann Butenandt,male,1903-03-24,Bremerhaven-Lehe,1995-01-18,Munich
292,Ahmed H. Zewail,male,1946-02-26,Damanhur,2016-08-02,"Pasadena, CA"
376,Alan Lloyd Hodgkin,male,1914-02-05,Banbury,1998-12-20,Cambridge
403,Albert Claude,male,1898-08-24,Longlier,1983-05-22,Brussels
628,Albert Camus,male,1913-11-07,Mondovi,1960-01-04,Sens
730,Alan G. MacDiarmid,male,1927-04-14,Masterton,2007-02-07,"Drexel Hill, PA"
