prize_id,laureate_id,awardYear,category,motivation,prizeAmount,prizeAmountAdjusted
1,745,2001,Economic Sciences,for their analyses of markets with asymmetric information,10000000,13927869
2,102,1975,Physics,for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection,630000,3856254
3,779,2004,Chemistry,for the discovery of ubiquitin-mediated protein degradation,10000000,13324969
4,259,1982,Chemistry,for his development of crystallographic electron microscopy and his structural elucidation of biologically important nucleic acid-protein complexes,1150000,3514532
5,1004,2021,Literature,for his uncompromising and compassionate penetration of the effects of colonialism and the fate of the refugee in the gulf between cultures and continents,10000000,10836735
6,114,1979,Physics,"for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current",800000,3384861
7,982,2019,Economic Sciences,for their experimental approach to alleviating global poverty,9000000,10013620
8,981,2019,Peace,"for his efforts to achieve peace and international cooperation, and in particular for his decisive initiative to resolve the border conflict with neighbouring Eritrea",9000000,10013620
9,843,2009,Chemistry,for studies of the structure and function of the ribosome,10000000,12413793
10,866,2011,Physics,for the discovery of the accelerating expansion of the Universe through observations of distant supernovae,10000000,11946007
11,199,1939,Chemistry,for his work on sex hormones,148822,4789363
12,164,1905,Chemistry,"in recognition of his services in the advancement of organic chemistry and the chemical industry, through his work on organic dyes and hydroaromatic compounds",138089,8626501
13,185,1928,Chemistry,for the services rendered through his research into the constitution of the sterols and their connection with the vitamins,156939,5050582
14,541,1980,Peace,"for being a source of inspiration to repressed people, especially in Latin America",880000,3273415
15,292,1999,Chemistry,for his studies of the transition states of chemical reactions using femtosecond spectroscopy,7900000,11383718
16,853,2010,Chemistry,for palladium-catalyzed cross couplings in organic synthesis,10000000,12256203
17,978,2019,Chemistry,for the development of lithium-ion batteries,9000000,10013620
18,819,2007,Peace,"for their efforts to build up and disseminate greater knowledge about man-made climate change, and to lay the foundations for the measures that are needed to counteract such change",10000000,12802893
19,1012,2022,Physics,"for experiments with entangled photons, establishing the violation of Bell inequalities and  pioneering quantum information science",10000000,10000000
20,729,2000,Chemistry,for the discovery and development of conductive polymers,9000000,12838146
21,376,1963,Physiology or Medicine,for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane,265000,3216343
22,730,2000,Chemistry,for the discovery and development of conductive polymers,9000000,12838146
23,11,1907,Physics,for his optical precision instruments and the spectroscopic and metrological investigations carried out with their aid,138796,7967641
24,628,1957,Literature,"for his important literary production, which with clear-sighted earnestness illuminates the problems of the human conscience in our times",208629,3056055
25,403,1974,Physiology or Medicine,for their discoveries concerning the structural and functional organization of the cell,550000,3696835
