prize_id,laureate_id,awardYear,category,motivation,prizeAmount,prizeAmountAdjusted,id,fullName,gender,birthdate,birthplace,deathdate,deathplace
2,102,1975,Physics,for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection,630000,3856254,102,Aage Niels Bohr,male,1922-06-19,Copenhagen,2009-09-08,Copenhagen
6,114,1979,Physics,"for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current",800000,3384861,114,Abdus Salam,male,1926-01-29,Jhang Maghiāna,1996-11-21,Oxford
11,199,1939,Chemistry,for his work on sex hormones,148822,4789363,199,Adolf Friedrich Johann Butenandt,male,1903-03-24,Bremerhaven-Lehe,1995-01-18,Munich
12,164,1905,Chemistry,"in recognition of his services in the advancement of organic chemistry and the chemical industry, through his work on organic dyes and hydroaromatic compounds",138089,8626501,164,Johann Friedrich Wilhelm Adolf von Baeyer,male,1835-10-31,Berlin,1917-08-20,Starnberg
13,185,1928,Chemistry,for the services rendered through his research into the constitution of the sterols and their connection with the vitamins,156939,5050582,185,Adolf Otto Reinhold Windaus,male,1876-12-25,Berlin,1959-06-09,Göttingen
15,292,1999,Chemistry,for his studies of the transition states of chemical reactions using femtosecond spectroscopy,7900000,11383718,292,Ahmed H. Zewail,male,1946-02-26,Damanhur,2016-08-02,"Pasadena, CA"
21,376,1963,Physiology or Medicine,for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane,265000,3216343,376,Alan Lloyd Hodgkin,male,1914-02-05,Banbury,1998-12-20,Cambridge
22,730,2000,Chemistry,for the discovery and development of conductive polymers,9000000,12838146,730,Alan G. MacDiarmid,male,1927-04-14,Masterton,2007-02-07,"Drexel Hill, PA"
23,11,1907,Physics,for his optical precision instruments and the spectroscopic and metrological investigations carried out with their aid,138796,7967641,11,Albert Abraham Michelson,male,1852-12-19,Strelno,1931-05-09,"Pasadena, CA"
24,628,1957,Literature,"for his important literary production, which with clear-sighted earnestness illuminates the problems of the human conscience in our times",208629,3056055,628,Albert Camus,male,1913-11-07,Mondovi,1960-01-04,Sens
25,403,1974,Physiology or Medicine,for their discoveries concerning the structural and functional organization of the cell,550000,3696835,403,Albert Claude,male,1898-08-24,Longlier,1983-05-22,Brussels
